addr,size,name,is_thunk,xref_count,calls_out,status
004ac400,208,FUN_004ac400,false,25,6,RAW-src
004ac4d0,208,FUN_004ac4d0,false,25,6,RAW-src
004ac5a0,175,FUN_004ac5a0,false,1,1,RAW-src
004ac650,31,FUN_004ac650,false,1,2,RAW-src
004ac670,213,FUN_004ac670,false,1,2,RAW-src
004ac760,1313,FUN_004ac760,false,1,9,RAW-src
004accf0,30,FUN_004accf0,false,1,1,RAW-src
004acd10,1275,FUN_004acd10,false,1,16,RAW-src
004ad230,384,FUN_004ad230,false,1,11,RAW-src
004ad3b0,3378,FUN_004ad3b0,false,1,37,RAW-src
004ae0f0,165,FUN_004ae0f0,false,1,8,RAW-src
004ae370,30,FUN_004ae370,false,1,1,RAW-src
004ae390,13,FUN_004ae390,false,1,1,RAW-src
004ae3a0,2390,FUN_004ae3a0,false,1,32,RAW-src
004aed00,32,FUN_004aed00,false,1,2,RAW-src
004aed20,13,FUN_004aed20,false,1,1,RAW-src
004aed30,2001,FUN_004aed30,false,1,14,RAW-src
004af530,300,FUN_004af530,false,1,5,RAW-src
004af660,31,FUN_004af660,false,1,2,RAW-src
004af680,274,FUN_004af680,false,1,3,RAW-src
004af7a0,6313,FUN_004af7a0,false,1,48,RAW-src
004b17b0,34,FUN_004b17b0,false,1,1,RAW-src
004b17e0,32,FUN_004b17e0,false,1,2,RAW-src
004b1800,13,FUN_004b1800,false,1,1,RAW-src
004b1810,4749,FUN_004b1810,false,1,45,RAW-src
004b31c0,32,FUN_004b31c0,false,1,2,RAW-src
004b31e0,13,FUN_004b31e0,false,1,1,RAW-src
004b31f0,2285,FUN_004b31f0,false,1,14,RAW-src
004b3b10,74,FUN_004b3b10,false,1,0,RAW-src
004b3b60,369,FUN_004b3b60,false,1,0,RAW-src
004b3da0,96,BuildAssetPath,false,10,0,RAW-src
004b3e00,87,FUN_004b3e00,false,1,0,RAW-src
004b3e60,298,FUN_004b3e60,false,1,5,RAW-src
004b3f90,203,FUN_004b3f90,false,1,2,RAW-src
004b4060,30,FUN_004b4060,false,1,2,RAW-src
004b4080,115,FUN_004b4080,false,1,1,RAW-src
004b4100,4903,State11_InBattle_ProcessPacket,false,1,48,RAW-src
004b5460,11718,State11_InBattle_ProcessBattleAction,false,1,70,RAW-src
004b82b0,5271,FUN_004b82b0,false,1,31,RAW-src
004b97d0,8005,FUN_004b97d0,false,1,46,RAW-src
